Campaign,Ad Group,Ad type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Description 1,Description 2,Description 3,Description 4,Description 1 position,Labels
FR-Informational,customs-declaration,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/customs?utm_source=google&utm_medium=cpc&utm_campaign=fr-informational&utm_content=customs-declaration,customs,allowances,Déclaration douane Indonésie,Ce que vous devez déclarer,Franchise 500 USD expliquée,Limites alcool et tabac,Règle 100 millions IDR cash,Enregistrement IMEI téléphone,Test rapide : déclarer ou non,Service d'assistance privé,Pas un site du gouvernement,Guide gratuit pas à pas,Rappel gratuit fenêtre 72 h,Mis à jour septembre 2026,Lien vers le portail officiel,Sans compte ni paiement,Expliqué en langage clair,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Guide gratuit.","Douane : 500 USD de biens, 1 litre d'alcool, 200 cigarettes, cash dès 100 M IDR.",Un test rapide dit si vous devez déclarer. Plus l'enregistrement IMEI au-delà de 90 jours.,Le portail n'accepte la carte que 72 h avant l'arrivée. On vous écrit dès l'ouverture.,1,mode-B-informational
FR-Informational,transit,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/reminder?utm_source=google&utm_medium=cpc&utm_campaign=fr-informational&utm_content=transit,transit,arrival-card,Carte d'arrivée en transit,Nécessaire en escale ?,Croisière et ferry aussi,Ferry Batam : carte requise,Escale à Jakarta ou Bali,Règles expliquées simplement,Rappel gratuit pour votre date,Service d'assistance privé,Pas un site du gouvernement,Guide gratuit pas à pas,Rappel gratuit fenêtre 72 h,Mis à jour septembre 2026,Lien vers le portail officiel,Sans compte ni paiement,Expliqué en langage clair,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Guide gratuit.","Transit, croisière ou ferry vers l'Indonésie : quand la carte est requise et quand non.",Rappel gratuit pour votre date. On vous écrit à l'ouverture des 72 h. Sans paiement.,Le portail n'accepte la carte que 72 h avant l'arrivée. On vous écrit dès l'ouverture.,1,mode-B-informational
ES-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/apply?utm_source=google&utm_medium=cpc&utm_campaign=es-transactional&utm_content=arrival-card-generic,arrival-card,assistance,Tarjeta de llegada Indonesia,Tarjeta preparada por nosotros,Revisamos cada campo,Entrega en menos de 12 horas,Código QR por correo,Sin costes ocultos,Precio familia y grupo,Servicio de asistencia privado,No es un sitio del gobierno,"Desde 24,90 $ por viajero",Precio visible desde el inicio,Revisado por una persona,Recordatorio gratis de 72 h,Soporte 7–23 h hora Yakarta,Reembolso si llega tarde,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Precio primero.","Asistencia desde 24,90 $ por viajero, 14,90 $ cada viajero extra. Sin costes ocultos.","Formulario guiado en español. Pasaporte, vuelo, salud y aduana revisados antes de enviar.","Una persona revisa cada campo, presenta en la ventana de 72 h y te envía el QR por correo.",1,mode-A-authorized-only
ES-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/apply?utm_source=google&utm_medium=cpc&utm_campaign=es-transactional&utm_content=bali-arrival-card,bali,arrival-card,Tarjeta de llegada Bali,¿Vuelas a Bali? Tarjeta lista,Tarjeta Bali revisada,Código QR antes de volar,Opción exprés en 2 horas,Funciona en el móvil,"Bali, Yakarta y más",Servicio de asistencia privado,No es un sitio del gobierno,"Desde 24,90 $ por viajero",Precio visible desde el inicio,Revisado por una persona,Recordatorio gratis de 72 h,Soporte 7–23 h hora Yakarta,Reembolso si llega tarde,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Precio primero.",¿Vuelas a Bali? Preparamos y revisamos tu tarjeta y te enviamos el QR antes de aterrizar.,"Desde 24,90 $ por viajero. Entrega exprés en menos de 2 h. Soporte 7–23 h, hora Yakarta.","Una persona revisa cada campo, presenta en la ventana de 72 h y te envía el QR por correo.",1,mode-A-authorized-only
ES-Transactional,evoa,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/evoa?utm_source=google&utm_medium=cpc&utm_campaign=es-transactional&utm_content=evoa,evoa,assistance,Asistencia e-VOA Indonesia,"e-VOA desde 70,90 $ con tasa",Tasa visado 500.000 IDR aparte,Hasta 90 días antes,Pasaporte y foto revisados,"30 días, prorrogable 1 vez",Pack con tarjeta de llegada,Servicio de asistencia privado,No es un sitio del gobierno,"Desde 24,90 $ por viajero",Precio visible desde el inicio,Revisado por una persona,Recordatorio gratis de 72 h,Soporte 7–23 h hora Yakarta,Reembolso si llega tarde,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Precio primero.","e-VOA 70,90 $ por viajero: 39,90 $ de servicio más 500.000 IDR de tasa oficial.","Pasaporte y foto revisados, e-VOA presentado, aprobación por correo. 30 días, prorrogable.","Una persona revisa cada campo, presenta en la ventana de 72 h y te envía el QR por correo.",1,mode-A-authorized-only
ES-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/apply?utm_source=google&utm_medium=cpc&utm_campaign=es-transactional&utm_content=family-children,family,arrival-card,Tarjetas para toda la familia,Una tarjeta por viajero,Niños y bebés incluidos,"14,90 $ cada viajero extra",Grupos de hasta 10 viajeros,Sin errores de pasaporte,Todos los QR en un correo,Servicio de asistencia privado,No es un sitio del gobierno,"Desde 24,90 $ por viajero",Precio visible desde el inicio,Revisado por una persona,Recordatorio gratis de 72 h,Soporte 7–23 h hora Yakarta,Reembolso si llega tarde,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Precio primero.","Una tarjeta por persona, bebés incluidos. Primer viajero 24,90 $, cada uno más 14,90 $.","Todas las tarjetas en un formulario, todos los QR en un correo. Sin errores de pasaporte.","Una persona revisa cada campo, presenta en la ventana de 72 h y te envía el QR por correo.",1,mode-A-authorized-only
ES-Informational,how-to-fill,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/reminder?utm_source=google&utm_medium=cpc&utm_campaign=es-informational&utm_content=how-to-fill,guide,72-hours,Cómo rellenar la tarjeta,Cuándo solicitar: regla 72 h,Te avisamos cuando se abra,Cada pregunta explicada,"Portal y app, paso a paso",Secciones salud y aduana,Crea un recordatorio gratis,Servicio de asistencia privado,No es un sitio del gobierno,Guía gratuita paso a paso,Recordatorio gratis de 72 h,Actualizado septiembre 2026,Enlace al portal oficial,Sin cuenta ni pago ahora,Explicado en lenguaje claro,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Guía gratuita.","Guía paso a paso de la tarjeta de llegada: qué necesitas, la regla de 72 h, cada pregunta.","Recordatorio gratis con tu fecha. Dos correos como máximo, sin cuenta, baja en un clic.",El portal solo abre 72 h antes de llegar. Te escribimos en cuanto se abra tu ventana.,1,mode-B-informational
ES-Informational,app-problems,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/guide?utm_source=google&utm_medium=cpc&utm_campaign=es-informational&utm_content=app-problems,guide,app-fixes,¿All Indonesia no funciona?,¿QR no recibido? Soluciones,10 problemas y soluciones,¿Fecha incorrecta? Qué hacer,Recuperar un QR perdido,¿La app se cierra? Usa la web,Bucle de acceso y correos,Servicio de asistencia privado,No es un sitio del gobierno,Guía gratuita paso a paso,Recordatorio gratis de 72 h,Actualizado septiembre 2026,Enlace al portal oficial,Sin cuenta ni pago ahora,Explicado en lenguaje claro,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Guía gratuita.","App que se cierra, QR no recibido, fecha errónea, bucle de acceso: 10 problemas resueltos.","Guía gratuita actualizada en septiembre de 2026, con enlaces al portal oficial.",El portal solo abre 72 h antes de llegar. Te escribimos en cuanto se abra tu ventana.,1,mode-B-informational
ES-Informational,customs-declaration,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/customs?utm_source=google&utm_medium=cpc&utm_campaign=es-informational&utm_content=customs-declaration,customs,allowances,Declaración aduana Indonesia,Qué debes declarar,Franquicia 500 USD explicada,Límites alcohol y tabaco,Regla 100 millones IDR cash,Registro IMEI del móvil,Test rápido: ¿declarar?,Servicio de asistencia privado,No es un sitio del gobierno,Guía gratuita paso a paso,Recordatorio gratis de 72 h,Actualizado septiembre 2026,Enlace al portal oficial,Sin cuenta ni pago ahora,Explicado en lenguaje claro,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Guía gratuita.","Aduana: 500 USD en bienes, 1 litro de alcohol, 200 cigarrillos, efectivo desde 100 M IDR.",Un test rápido te dice si debes declarar. Más el registro IMEI para más de 90 días.,El portal solo abre 72 h antes de llegar. Te escribimos en cuanto se abra tu ventana.,1,mode-B-informational
ES-Informational,transit,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/es/reminder?utm_source=google&utm_medium=cpc&utm_campaign=es-informational&utm_content=transit,transit,arrival-card,Tarjeta de llegada en tránsito,¿Necesaria en escala?,Crucero y ferry también,Ferry Batam: se exige tarjeta,Escala en Yakarta o Bali,Normas explicadas con claridad,Recordatorio para tu fecha,Servicio de asistencia privado,No es un sitio del gobierno,Guía gratuita paso a paso,Recordatorio gratis de 72 h,Actualizado septiembre 2026,Enlace al portal oficial,Sin cuenta ni pago ahora,Explicado en lenguaje claro,1,"Servicio de asistencia privado, sin vínculo con sitios del gobierno. Guía gratuita.","Tránsito, crucero o ferry a Indonesia: cuándo se exige la tarjeta de llegada y cuándo no.",Recordatorio gratis para tu fecha. Te escribimos cuando se abran las 72 h. Sin pago ahora.,El portal solo abre 72 h antes de llegar. Te escribimos en cuanto se abra tu ventana.,1,mode-B-informational
JA-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/apply?utm_source=google&utm_medium=cpc&utm_campaign=ja-transactional&utm_content=arrival-card-generic,arrival-card,assistance,インドネシア入国カード代行,入国カードを作成します,全項目をチェック,12時間以内にお届け,QRコードをメールで,追加料金なし,家族・グループ料金,民間サポートサービス,政府サイトではありません,1人$24.90から,入力前に料金を表示,担当者が全項目を確認,無料の72時間リマインダー,サポート毎日7〜23時,遅延時は全額返金,1,民間サポートサービスです。政府サイトとは無関係。個人情報の入力前に料金を表示します。,入国カード代行は1人$24.90から、追加1人$14.90。追加料金なし、遅延時は全額返金。,日本語のガイド付きフォーム。パスポート、便名、健康・税関申告を提出前に確認。,担当者が全項目を確認し、72時間の受付枠内に提出、QRコードをメールでお届けします。,1,mode-A-authorized-only
JA-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/apply?utm_source=google&utm_medium=cpc&utm_campaign=ja-transactional&utm_content=bali-arrival-card,bali,arrival-card,バリ島入国カード代行,バリ行き？カード作成,バリ島入国カード確認済,出発前にQRコード,特急2時間以内,スマホで完結,バリ・ジャカルタ全空港,民間サポートサービス,政府サイトではありません,1人$24.90から,入力前に料金を表示,担当者が全項目を確認,無料の72時間リマインダー,サポート毎日7〜23時,遅延時は全額返金,1,民間サポートサービスです。政府サイトとは無関係。個人情報の入力前に料金を表示します。,バリ島へ？入国カードを作成・確認し、到着前にQRコードをメールでお届けします。,1人$24.90から。特急なら2時間以内。サポートは毎日7〜23時（ジャカルタ時間）。,担当者が全項目を確認し、72時間の受付枠内に提出、QRコードをメールでお届けします。,1,mode-A-authorized-only
JA-Transactional,evoa,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/evoa?utm_source=google&utm_medium=cpc&utm_campaign=ja-transactional&utm_content=evoa,evoa,assistance,インドネシアe-VOA代行,e-VOA$70.90込み,ビザ料50万ルピア別記載,最大90日前から申請可,パスポート・写真を確認,30日間・1回延長可,入国カードとセット,民間サポートサービス,政府サイトではありません,1人$24.90から,入力前に料金を表示,担当者が全項目を確認,無料の72時間リマインダー,サポート毎日7〜23時,遅延時は全額返金,1,民間サポートサービスです。政府サイトとは無関係。個人情報の入力前に料金を表示します。,e-VOA代行は1人$70.90：手数料$39.90＋政府ビザ料50万ルピア、内訳を明記。,パスポートの有効期限と写真を確認し、e-VOAを申請、承認書をメール。30日間、1回延長可。,担当者が全項目を確認し、72時間の受付枠内に提出、QRコードをメールでお届けします。,1,mode-A-authorized-only
JA-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/apply?utm_source=google&utm_medium=cpc&utm_campaign=ja-transactional&utm_content=family-children,family,arrival-card,家族全員の入国カード,1人1枚、まとめて代行,子ども・赤ちゃんも対応,追加1人$14.90,最大10人のグループ,パスポート番号の誤記なし,QRコードを1通のメールで,民間サポートサービス,政府サイトではありません,1人$24.90から,入力前に料金を表示,担当者が全項目を確認,無料の72時間リマインダー,サポート毎日7〜23時,遅延時は全額返金,1,民間サポートサービスです。政府サイトとは無関係。個人情報の入力前に料金を表示します。,入国カードは赤ちゃんも1人1枚。最初の1人$24.90、追加1人$14.90。,1つのフォームで家族全員分を作成し、全QRコードを1通のメールで。番号の誤記なし。,担当者が全項目を確認し、72時間の受付枠内に提出、QRコードをメールでお届けします。,1,mode-A-authorized-only
JA-Informational,how-to-fill,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/reminder?utm_source=google&utm_medium=cpc&utm_campaign=ja-informational&utm_content=how-to-fill,guide,72-hours,入国カードの書き方,申請時期：72時間ルール,受付開始をメールでお知らせ,全質問を解説,サイトとアプリ、手順解説,健康・税関の項目を解説,無料リマインダー設定,民間サポートサービス,政府サイトではありません,無料の手順ガイド,無料の72時間リマインダー,2026年9月更新,公式ポータルへのリンク,登録不要・今は支払い不要,わかりやすく解説,1,民間サポートサービスです。政府サイトとは無関係。無料ガイドと無料リマインダー。,インドネシア入国カードの手順ガイド：必要なもの、72時間ルール、各申告項目の解説。,到着日を登録して無料リマインダー。メールは最大2通、登録不要、ワンクリックで解除。,公式システムは到着72時間前からしか受け付けません。受付開始の瞬間にメールでお知らせ。,1,mode-B-informational
JA-Informational,app-problems,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/guide?utm_source=google&utm_medium=cpc&utm_campaign=ja-informational&utm_content=app-problems,guide,app-fixes,All Indonesiaが使えない？,QRコードが届かない？,10の既知の不具合と対処,日付を間違えたら？,紛失したQRコードを再取得,アプリが落ちる？Webで,ログインループの対処,民間サポートサービス,政府サイトではありません,無料の手順ガイド,無料の72時間リマインダー,2026年9月更新,公式ポータルへのリンク,登録不要・今は支払い不要,わかりやすく解説,1,民間サポートサービスです。政府サイトとは無関係。無料ガイドと無料リマインダー。,All Indonesiaが落ちる、QRが届かない、日付の誤り、ログインループ：10の不具合と対処法。,2026年9月更新の無料ガイド。公式ポータルと再取得ページへのリンク付き。,公式システムは到着72時間前からしか受け付けません。受付開始の瞬間にメールでお知らせ。,1,mode-B-informational
JA-Informational,customs-declaration,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/customs?utm_source=google&utm_medium=cpc&utm_campaign=ja-informational&utm_content=customs-declaration,customs,allowances,インドネシア税関申告,申告が必要なもの,免税枠500ドルを解説,酒・たばこの制限,現金1億ルピアのルール,スマホのIMEI登録,申告要否クイック判定,民間サポートサービス,政府サイトではありません,無料の手順ガイド,無料の72時間リマインダー,2026年9月更新,公式ポータルへのリンク,登録不要・今は支払い不要,わかりやすく解説,1,民間サポートサービスです。政府サイトとは無関係。無料ガイドと無料リマインダー。,インドネシア税関ルール：物品500ドル、酒1L、たばこ200本、現金1億ルピア以上は申告。,申告が必要かをクイック判定。90日以上使うスマホのIMEI登録も解説。,公式システムは到着72時間前からしか受け付けません。受付開始の瞬間にメールでお知らせ。,1,mode-B-informational
JA-Informational,transit,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ja/reminder?utm_source=google&utm_medium=cpc&utm_campaign=ja-informational&utm_content=transit,transit,arrival-card,乗り継ぎでも入国カード？,経由だけでも必要？,クルーズ・フェリーも対象,バタム行きフェリーも必要,ジャカルタ・バリ乗り継ぎ,ルールをやさしく解説,到着日の無料リマインダー,民間サポートサービス,政府サイトではありません,無料の手順ガイド,無料の72時間リマインダー,2026年9月更新,公式ポータルへのリンク,登録不要・今は支払い不要,わかりやすく解説,1,民間サポートサービスです。政府サイトとは無関係。無料ガイドと無料リマインダー。,乗り継ぎ、クルーズ、フェリーでの入国：入国カードが必要な場合と不要な場合。,到着日の無料リマインダー。72時間の受付枠が開いたらメール。今は支払い不要。,公式システムは到着72時間前からしか受け付けません。受付開始の瞬間にメールでお知らせ。,1,mode-B-informational
KO-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/apply?utm_source=google&utm_medium=cpc&utm_campaign=ko-transactional&utm_content=arrival-card-generic,arrival-card,assistance,인도네시아 입국카드 대행,입국카드를 대신 준비,모든 항목 확인,12시간 내 전달,QR코드 이메일 발송,숨은 비용 없음,가족·단체 요금,민간 지원 서비스,정부 웹사이트 아님,1인 $24.90부터,입력 전 가격 표시,담당자가 항목별 확인,무료 72시간 알림,매일 07–23시 상담,지연 시 전액 환불,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 개인정보 입력 전에 가격을 보여드립니다.,"입국카드 대행 1인 $24.90부터, 추가 1인 $14.90. 숨은 비용 없음, 지연 시 전액 환불.","한국어 안내 양식. 여권, 항공편, 건강·세관 신고를 제출 전에 확인합니다.",담당자가 모든 항목을 확인해 72시간 접수 기간 안에 제출하고 QR코드를 이메일로 보냅니다.,1,mode-A-authorized-only
KO-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/apply?utm_source=google&utm_medium=cpc&utm_campaign=ko-transactional&utm_content=bali-arrival-card,bali,arrival-card,발리 입국카드 대행,발리행? 입국카드 준비,발리 입국카드 확인 완료,출발 전 QR코드 수령,2시간 내 특급 옵션,휴대폰으로 완료,발리·자카르타 전 공항,민간 지원 서비스,정부 웹사이트 아님,1인 $24.90부터,입력 전 가격 표시,담당자가 항목별 확인,무료 72시간 알림,매일 07–23시 상담,지연 시 전액 환불,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 개인정보 입력 전에 가격을 보여드립니다.,발리행이세요? 입국카드를 준비·확인하고 도착 전 QR코드를 이메일로 보내드립니다.,1인 $24.90부터. 특급은 2시간 내 전달. 상담 매일 07–23시(자카르타 시간).,담당자가 모든 항목을 확인해 72시간 접수 기간 안에 제출하고 QR코드를 이메일로 보냅니다.,1,mode-A-authorized-only
KO-Transactional,evoa,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/evoa?utm_source=google&utm_medium=cpc&utm_campaign=ko-transactional&utm_content=evoa,evoa,assistance,인도네시아 e-VOA 대행,e-VOA $70.90 수수료 포함,비자료 50만 루피아 별도,최대 90일 전 신청,여권·사진 확인,"30일, 1회 연장 가능",입국카드와 묶음 할인,민간 지원 서비스,정부 웹사이트 아님,1인 $24.90부터,입력 전 가격 표시,담당자가 항목별 확인,무료 72시간 알림,매일 07–23시 상담,지연 시 전액 환불,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 개인정보 입력 전에 가격을 보여드립니다.,"e-VOA 대행 1인 $70.90: 서비스 $39.90 + 정부 비자료 50만 루피아, 항목별 표시.","여권 유효기간과 사진을 확인하고 e-VOA를 신청, 승인서를 이메일로. 30일, 1회 연장 가능.",담당자가 모든 항목을 확인해 72시간 접수 기간 안에 제출하고 QR코드를 이메일로 보냅니다.,1,mode-A-authorized-only
KO-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/apply?utm_source=google&utm_medium=cpc&utm_campaign=ko-transactional&utm_content=family-children,family,arrival-card,온 가족 입국카드,"1인 1장, 한 번에 대행",아이·아기 포함,추가 1인 $14.90,최대 10인 단체,여권번호 오기 없음,모든 QR코드 한 통에,민간 지원 서비스,정부 웹사이트 아님,1인 $24.90부터,입력 전 가격 표시,담당자가 항목별 확인,무료 72시간 알림,매일 07–23시 상담,지연 시 전액 환불,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 개인정보 입력 전에 가격을 보여드립니다.,"입국카드는 아기도 1인 1장. 첫 여행자 $24.90, 추가 1인 $14.90.",양식 하나로 온 가족 카드를 준비하고 QR코드를 한 통에 보냅니다. 여권번호 오기 없음.,담당자가 모든 항목을 확인해 72시간 접수 기간 안에 제출하고 QR코드를 이메일로 보냅니다.,1,mode-A-authorized-only
KO-Informational,how-to-fill,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/reminder?utm_source=google&utm_medium=cpc&utm_campaign=ko-informational&utm_content=how-to-fill,guide,72-hours,입국카드 작성 방법,신청 시점: 72시간 규칙,접수 시작 시 이메일 알림,모든 질문 설명,포털·앱 단계별 안내,건강·세관 항목 설명,무료 알림 설정하기,민간 지원 서비스,정부 웹사이트 아님,무료 단계별 가이드,무료 72시간 알림,2026년 9월 업데이트,공식 포털 링크 제공,계정·결제 없이,쉬운 말로 설명,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 무료 가이드와 무료 알림을 제공합니다.,"인도네시아 입국카드 단계별 가이드: 준비물, 72시간 규칙, 신고 항목별 설명.","도착일만 남기면 무료 알림. 이메일 최대 2통, 계정 불필요, 한 번에 해지.",공식 시스템은 도착 72시간 전부터만 접수합니다. 접수가 열리는 순간 이메일로 알려드립니다.,1,mode-B-informational
KO-Informational,app-problems,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/guide?utm_source=google&utm_medium=cpc&utm_campaign=ko-informational&utm_content=app-problems,guide,app-fixes,All Indonesia 앱 안 되나요?,QR코드 미수신? 해결법,알려진 문제 10가지 해결,날짜 오류? 대처법,잃어버린 QR코드 찾기,앱 튕김? 웹사이트 이용,로그인 반복·이메일 문제,민간 지원 서비스,정부 웹사이트 아님,무료 단계별 가이드,무료 72시간 알림,2026년 9월 업데이트,공식 포털 링크 제공,계정·결제 없이,쉬운 말로 설명,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 무료 가이드와 무료 알림을 제공합니다.,"All Indonesia 튕김, QR 미수신, 날짜 오류, 로그인 반복: 알려진 문제 10가지와 해결법.",2026년 9월 업데이트 무료 가이드. 공식 포털과 재발급 페이지 링크 포함.,공식 시스템은 도착 72시간 전부터만 접수합니다. 접수가 열리는 순간 이메일로 알려드립니다.,1,mode-B-informational
KO-Informational,customs-declaration,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/customs?utm_source=google&utm_medium=cpc&utm_campaign=ko-informational&utm_content=customs-declaration,customs,allowances,인도네시아 세관 신고,신고해야 하는 물품,면세 한도 500달러 설명,주류·담배 한도,현금 1억 루피아 규정,휴대폰 IMEI 등록,신고 여부 빠른 확인,민간 지원 서비스,정부 웹사이트 아님,무료 단계별 가이드,무료 72시간 알림,2026년 9월 업데이트,공식 포털 링크 제공,계정·결제 없이,쉬운 말로 설명,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 무료 가이드와 무료 알림을 제공합니다.,"인도네시아 세관 규정: 물품 500달러, 주류 1L, 담배 200개비, 현금 1억 루피아 이상 신고.",신고 필요 여부를 빠르게 확인. 90일 이상 사용할 휴대폰의 IMEI 등록도 안내.,공식 시스템은 도착 72시간 전부터만 접수합니다. 접수가 열리는 순간 이메일로 알려드립니다.,1,mode-B-informational
KO-Informational,transit,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/ko/reminder?utm_source=google&utm_medium=cpc&utm_campaign=ko-informational&utm_content=transit,transit,arrival-card,환승도 입국카드 필요?,경유만 해도 필요한가요?,크루즈·페리 입국도,바탐 페리: 카드 필요,자카르타·발리 환승,규칙을 쉽게 설명,도착일 무료 알림,민간 지원 서비스,정부 웹사이트 아님,무료 단계별 가이드,무료 72시간 알림,2026년 9월 업데이트,공식 포털 링크 제공,계정·결제 없이,쉬운 말로 설명,1,민간 지원 서비스로 정부 웹사이트와 무관합니다. 무료 가이드와 무료 알림을 제공합니다.,"환승, 크루즈, 페리로 인도네시아 입국: 입국카드가 필요한 경우와 아닌 경우.",도착일 무료 알림. 72시간 접수가 열리면 이메일로 알려드립니다. 지금은 결제 없음.,공식 시스템은 도착 72시간 전부터만 접수합니다. 접수가 열리는 순간 이메일로 알려드립니다.,1,mode-B-informational
ID-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/id/apply?utm_source=google&utm_medium=cpc&utm_campaign=id-transactional&utm_content=arrival-card-generic,arrival-card,assistance,Bantuan kartu kedatangan,Kartu kedatangan kami siapkan,Setiap kolom diperiksa,Selesai kurang dari 12 jam,Kode QR dikirim via email,Tanpa biaya tersembunyi,Harga keluarga & rombongan,Layanan bantuan swasta,Bukan situs pemerintah,"Mulai US$24,90 per orang",Harga tampil sebelum isi,Diperiksa oleh petugas kami,Pengingat 72 jam gratis,Dukungan 07–23 WIB tiap hari,Refund penuh jika terlambat,1,"Layanan bantuan swasta, tak terafiliasi situs pemerintah mana pun. Harga tampil dulu.","Bantuan kartu kedatangan US$24,90/orang, tambahan US$14,90/orang. Tanpa biaya tersembunyi.","Formulir terpandu. Paspor, penerbangan, kesehatan, dan bea cukai dicek sebelum diajukan.","Tiap kolom diperiksa petugas, diajukan dalam jendela 72 jam, kode QR dikirim ke email.",1,mode-A-authorized-only
ID-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/id/apply?utm_source=google&utm_medium=cpc&utm_campaign=id-transactional&utm_content=bali-arrival-card,bali,arrival-card,Bantuan kartu kedatangan Bali,Mendarat di Bali? Kami bantu,Kartu kedatangan Bali dicek,Kode QR sebelum terbang,Opsi kilat di bawah 2 jam,Bisa dari HP,"Bali, Jakarta, semua bandara",Layanan bantuan swasta,Bukan situs pemerintah,"Mulai US$24,90 per orang",Harga tampil sebelum isi,Diperiksa oleh petugas kami,Pengingat 72 jam gratis,Dukungan 07–23 WIB tiap hari,Refund penuh jika terlambat,1,"Layanan bantuan swasta, tak terafiliasi situs pemerintah mana pun. Harga tampil dulu.","Terbang ke Bali? Kartu kedatangan disiapkan dan diperiksa, kode QR dikirim sebelum tiba.","Mulai US$24,90 per orang. Opsi kilat di bawah 2 jam. Dukungan tiap hari 07.00–23.00 WIB.","Tiap kolom diperiksa petugas, diajukan dalam jendela 72 jam, kode QR dikirim ke email.",1,mode-A-authorized-only
ID-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/id/apply?utm_source=google&utm_medium=cpc&utm_campaign=id-transactional&utm_content=family-children,family,arrival-card,Kartu kedatangan sekeluarga,"Satu kartu per orang, beres",Termasuk anak & bayi,"US$14,90 per orang tambahan",Rombongan hingga 10 orang,Nomor paspor tak tertukar,Semua kode QR satu email,Layanan bantuan swasta,Bukan situs pemerintah,"Mulai US$24,90 per orang",Harga tampil sebelum isi,Diperiksa oleh petugas kami,Pengingat 72 jam gratis,Dukungan 07–23 WIB tiap hari,Refund penuh jika terlambat,1,"Layanan bantuan swasta, tak terafiliasi situs pemerintah mana pun. Harga tampil dulu.","Satu kartu kedatangan per orang, termasuk bayi. Orang pertama US$24,90, tambahan US$14,90.","Semua kartu dari satu formulir, semua kode QR dalam satu email. Nomor paspor tak tertukar.","Tiap kolom diperiksa petugas, diajukan dalam jendela 72 jam, kode QR dikirim ke email.",1,mode-A-authorized-only
